"Grafico1"
"Tempo (sec)","Spostamento angolare1 (deg)"
0,89.9999950346508
0.04,90.0204854289551
0.08,90.0791900278356
0.12,90.1703297595744
0.16,90.2862824590641
0.2,90.4181332812083
0.24,90.5560886100835
0.28,90.6901939650755
0.32,90.810824232059
0.36,90.9092686238845
0.4,90.9782353635738
0.44,91.012216255819
0.48,91.0079910849531
0.52,90.9645187428417
0.56,90.8831915108499
0.6,90.7677063670346
0.64,90.6238480263319
0.68,90.4591631659975
0.72,90.2825282793628
0.76,90.1036171035596
0.8,89.9323951128532
0.84,89.7783810954409
0.88,89.6502278037329
0.92,89.5551057855553
0.96,89.4982890924083
1,89.4828064910818
1.04,89.5092673784723
1.08,89.5757902502371
1.12,89.6781333993054
1.16,89.809976305205
1.2,89.9632775141188
1.24,90.1287594701588
1.28,90.2965283311154
1.32,90.456566913652
1.36,90.5994236094673
1.4,90.7166627654309
1.44,90.80144806735
1.48,90.8488288887377
1.52,90.856129263597
1.56,90.8229688599976
1.6,90.7513689337138
1.64,90.6456390636901
1.68,90.5120807089096
1.72,90.3586387663546
1.76,90.1944797869833
1.8,90.029416361027
1.84,89.8733343113136
1.88,89.7356177250071
1.92,89.6245730249042
1.96,89.5468964624227
2,89.5072862473424
2.04,89.5081383144827
2.08,89.5493887346478
2.12,89.6285206717895
2.16,89.7407135162829
2.2,89.8791399766818
2.24,90.0353875630762
2.28,90.1999732191741
2.32,90.3628956247696
2.36,90.5142448141288
2.4,90.6447849870955
2.44,90.7464634460425
2.48,90.8128908515394
2.52,90.839703013912
2.56,90.8247864039674
2.6,90.7684173345993
2.64,90.6732282817899
2.68,90.5440602690695
2.72,90.3877103802109
2.76,90.212484577287
2.8,90.0277882133178
2.84,89.8435307539577
2.88,89.66954830799
2.92,89.5150210516633
2.96,89.3879085435516
3,89.2944470809992
3.04,89.2387718751668
3.08,89.2226409441409
3.12,89.2453475979633
3.16,89.3037233693418
3.2,89.392343316258
3.24,89.5038759144933
3.28,89.6295009074898
3.32,89.7594658949309
3.36,89.88367148903
3.4,89.9922478224703
3.44,90.0761557675768
3.48,90.1276967514015
3.52,90.1409731244805
3.56,90.1121928093314
3.6,90.0399280732099
3.64,89.9251515026521
3.68,89.7712270689636
3.72,89.5836870371274
3.76,89.3699357393286
3.8,89.138826467192
3.84,88.9001418826315
3.88,88.6640172084032
3.92,88.4403372331665
3.96,88.2381159321436
4,88.0649638354152
4.04,87.9265679891523
4.08,87.8263674180791
4.12,87.7652724041506
4.16,87.7416384941937
4.2,87.7513290982325
4.24,87.7879935757243
4.28,87.8434356061746
4.32,87.9080952102903
4.36,87.9717574083637
4.4,88.0239670494038
4.44,88.0548411466809
4.48,88.0555770743532
4.52,88.0190081307831
4.56,87.9399386396486
4.6,87.8156251744032
4.64,87.6457554541526
4.68,87.4326294921949
4.72,87.1809307487014
4.76,86.8975479140028
4.8,86.5911132930481
4.84,86.271593008729
4.88,85.9495562454947
4.92,85.6356792831313
4.96,85.339957534167
5,85.0711236915722
5.04,84.8360595821277
5.08,84.6393091447779
5.12,84.482771645756
5.16,84.3655405892737
5.2,84.2839370271441
5.24,84.2317192028277
5.28,84.2005363745572
5.32,84.180337927839
5.36,84.1601706680977
5.4,84.1287409558678
5.44,84.0752408358495
5.48,83.9899425014561
5.52,83.8649013432927
5.56,83.6943937879375
5.6,83.4753437089439
5.64,83.2074902982961
5.68,82.8935017270976
5.72,82.5387947570686
5.76,82.1512710460137
5.8,81.740839646507
5.84,81.3188362691174
5.88,80.8972927117568
5.92,80.4881360180675
5.96,80.1024135281069
6,79.7494468917274
6.04,79.4362102859012
6.08,79.1667022073121
6.12,78.9416729242261
6.16,78.7584613986031
6.2,78.6111812466696
6.24,78.4910364470668
6.28,78.3870190258886
6.32,78.2865683380154
6.36,78.1765722133013
6.4,78.0441944018067
6.44,77.8778655954651
6.48,77.6680404229812
6.52,77.4079936185407
6.56,77.0942056481415
6.6,76.7268404862293
6.64000000000001,76.3096642358826
6.68000000000001,75.8499946501356
6.72000000000001,75.3582104252174
6.76000000000001,74.8471442024125
6.80000000000001,74.3311613582253
6.84000000000001,73.8251635555934
6.88000000000001,73.3434178127721
6.92000000000001,72.8984117246269
6.96000000000001,72.4997655574834
7.00000000000001,72.1533498246231
7.04000000000001,71.8606523051324
7.08000000000001,71.6185482459797
7.12000000000001,71.4194631379859
7.16000000000001,71.2519033902035
7.20000000000001,71.1013489428454
7.24000000000001,70.9514919968012
7.28000000000001,70.7855637036121
7.32000000000001,70.5876908483882
7.36000000000001,70.3443358833791
7.40000000000001,70.0454078526366
7.44000000000001,69.6852241174285
7.48000000000001,69.2630924532717
7.52000000000001,68.7835939551479
7.56000000000001,68.2563360331208
7.60000000000001,67.6953703064063
7.64000000000001,67.1181545610294
7.68000000000001,66.5441155800614
7.72000000000001,65.9929294854645
7.76000000000001,65.4826527734483
7.80000000000001,65.0278190546479
7.84000000000001,64.6378297426448
7.88000000000001,64.3157623161853
7.92000000000001,64.0577707013367
7.96000000000001,63.8533248502378
8.00000000000001,63.6860755313263
8.04,63.53546653532
8.08,63.3787921023302
8.12,63.1935228251172
8.16,62.9596464939229
8.2,62.661795511332
8.24,62.2909445126677
8.28,61.8456011429993
8.32,61.3322676275388
8.36,60.7650969071979
8.4,60.1648169435462
8.44,59.5568134288332
8.48,58.968345319401
8.51999999999999,58.4255906843351
8.55999999999999,57.950222919177
8.59999999999999,57.5564168165437
8.63999999999999,57.2486741091169
8.67999999999999,57.0207460823395
